Client,Lobbyist,Lobbyist_Firm,Client_Phone,Client_Address,Client_Address_2,Client_City,Client_State,Client_Zip,Client_Location
La Salle Hotel Properties,"Clemens, Alexander",Lighthouse Public Affairs,(391) 941-1500,7550 WISCONSIN AVENUE,,BETHESDA,MD,20814,
Hudson Pacific,"Hayward, A. Boe",Lighthouse Public Affairs,(415) 777-4100,"101 SPEAR STREET, SUITE 200",,SAN FRANCISCO,CA,94105,
The Gales Group,"Guehring, Ross",Barbary Coast Consulting,4151111111,537 28th Street,,San Francisco,CA,94131,
The Shelly Trust,"Young, Marcus",Young And Associates,510-466-6796,121 West 19th Street,,New York,NY,10011,
Raintree Partners,"Sarjapur, Melinda A.","Reuben, Junius & Rose, Llp",949-365-5650,"28202 Cabot Road, Ste. 300",,Laguna Niguel,CA,92677,
At&t California,"Peterson, Rich",Goodyear Peterson Hayward & Associates,(415) 778-1250,"525 MARKET STREET, ROOM 1946",,SAN FRANCISCO,CA,94105,
Wine Institute,"Piccini, Jacqueline",Platinum Advisors,916-441-6974,"915 L STREET, SUITE 1400",,SACRAMENTO,CA,95814,
United Food & Commercial Workers Local 648,"Gruwell, Chris",Platinum Advisors,206-575-2211,"1775 K STREET, NW",,WASHINGTON,DC,20006,
Lubert-Adler Man,"Frattin, Daniel","Reuben, Junius & Rose, Llp",3104964135,"c/o Balboa Retail Partners, LLC",,Los Angeles,CA,90025,
California Pacific Medical Center,"Tourk, Alex",Ground Floor Public Affairs,415-600-6000,3838 Buchanan Street,,San Francisco,CA,94123,
La Salle Hotel Properties,"Peterson, Rich H.",Lighthouse Public Affairs,(391) 941-1500,7550 WISCONSIN AVENUE,,BETHESDA,MD,20814,
Basketball City,"Hayward, A. Boe",Lighthouse Public Affairs,(212) 233-5050,299 SOUTH STREET,,NEW YORK,NY,10002,
Sf Bay Limited Partnership,"Dorsey, Matt",Lighthouse Public Affairs,(415) 538-9400,165 BUENA VISTA AVENUE E,,SAN FRANCISCO,CA,94117,
"447 Partners, Llc","Junius, Andrew","Reuben, Junius & Rose, Llp",6502668080,"Montgomery Realty Group, Inc. & LLC",,San Francisco,CA,94111,
Crunch Gym,"Davis, Evette",Bergdavis Public Affairs,212-993-0308,22 West 19th Street,,New York,NY,10011,
"Skyroam, Inc.","Kirk, Laura",Platinum Advisors,(415) 992-9280,"180 SANSOME STREET, 4TH FLOOR",,SAN FRANCISCO,CA,94103,
Neptune Society Of N. California,"Gregg, Andrew",Self,925-287-9734,1855 Olympic Blvd.,,Walnut Creek,CA,94596,
"Fluor Enterprises, Inc.","Piccini, Jacqueline",Platinum Advisors,925-307-1200,"4140 DUBLIN BOULEVARD, SUITE 300",,DUBLIN,CA,94568,
Accenture,"Gruwell, Chris",Platinum Advisors,2025331100,"800 CONNECTICUT AVENUE, NW SUITE 600",,WASHINGTON,DC,20006,
One Kings Lane,"Gruwell, Chris",Platinum Advisors,(415) 489-9700,"501 SECOND STREET, SUITE 114",,SAN FRANCISCO,CA,94107,
Trumark Urban,"Noyola, David G.",Noyola Piccini Group,(415)757-4488,"90 NEW MONTGOMERY STREET, SUITE 750",,SAN FRANCISCO,CA,94105,
Daniel Rabin,"Goodyear, Charles","Goodyear Peterson Hayward & Associates, Llc",415-522-5700,"731 SANSOME STREET, 2ND FLOOR",,SAN FRANCISCO,CA,94111,
Blatteis & Schnur,"Catalano, Tuija","Reuben, Junius & Rose, Llp",310-282-5300,"Constellation Blvd., No. 1050",,Los Angeles,CA,90067,
P. Schoenfeld Asset Management Lp,"Tobin, Michael",P. Schoenfeld Asset Management Lp,(212) 649-9565,1350 Avenue of the Americas 21st Floor,,NY,NY,10019,
Broadway Billiards Academy,"Garland, Marsha",Marsha Garland Public Relations,415-430-8035,401 Broadway,,San Francisco,CA,94133,
"Sks Partners, Llc","Vettel, Steve",Farella Braun And Martel,415-421-8200,601 California Street,,San Francisco,CA,94108,
"Highgate Holdings, Llc","Catalano, Tuija","Reuben, Junius & Rose, Llp",212-707-5059,870 Seventh Avenue,,New York,NY,10019,
"Tishman Speyer Properties, L.p.","Krause, Andre","Tishman Speyer Properties, L.p.",2127150320,45 Rockefeller Plaza,,New York,NY,10111,
Petsmart,"Atkinson, Steve",Mckenna Long & Aldridge Llp,(623) 587-2813,19601 North 27th Avenue,,Phoenix,AZ,85027,
Mill Creek Residential Trust,"Angelis, Chloe","Reuben, Junius & Rose, Llp",650-293-3574,"411 Borel Ave., Ste. 405",,San Mateo,CA,94402,
"Tpg Capital Bd, Llc","Mcmillan, Peter","Tpg Capital Bd, Llc",415-743-1526,345 California St,,San Francisco,CA,94104,
Cvs Pharmacy,"Berg, Jessica",Bergdavis Public Affairs,(916) 643-9610,1375 Exposition Blvd.,Suite 101,Sacramento,CA,95815,
"Rhmt, Llc","Gladstone, Brett",Hanson Bridgett Llp,415-928-3300,"4000 Montgomery Drive, Suite F",,Santa Rosa,CA,94115,
"Genentech, Inc.","Peterson, Rich",Goodyear Peterson Hayward & Associates,(650) 225-1000,1 DNA WAY,,SOUTH SAN FRANCISCO,CA,94080,
Crescent Heights,"Piccini, Jacqueline",Platinum Advisors,415-989-1045,"450 SANSOME STREET, SUITE 750",,SAN FRANCISCO,CA,94111,
Latina,"Vettel, Steve",Farella Braun And Martel,(412) 202-7800,1525 Post Street,,San Francisco,CA,94109,
Carollo Engineers,"Rossi, Jaime",Barbary Coast Consulting,925-932-1710,"2700 Ygnacio Valley Road,",,Walnut Creek,CA,94598,
Presidio Heights Association Of Neighbors,"Goodyear, Charles","Goodyear Peterson Hayward & Associates, Llc",(415) 652-1974,7 PRESIDIO AVENUE,,SAN FRANCISCO,CA,94115,
Contest Promotions,"Reuben, James","Reuben, Junius & Rose, Llp",310-558-8555,3434 Overland Avenue,,Los Angeles,CA,90034,
"Ch2m Hill, Inc.","Goodyear, Charles","Goodyear Peterson Hayward & Associates, Llc",(888) 242-6445,9191 SOUTH JAMAICA STREET,,ENGLEWOOD,CO,80112,
Francisco Parks Conservancy,"Jordan, K. Taylor",Lighthouse Public Affairs,(415) 298-9880,PO BOX 475035,,SAN FRANCISCO,CA,94147,
Wine & Spirits Wholesalers Of California,"Potashner, Eric",Platinum Advisors,916-944-1470,4059 CRABTREE COURT,,CARMICHAEL,CA,95608,
Market Street Place,"Guehring, Ross E.",Lighthouse Public Affairs,(214) 561-8800,"8343 DOUGLAS AVENUE, SUITE 200",,DALLAS,TX,75225,
Anastasia Michaels And James Monschke,"Gladstone, Brett",Hanson Bridgett Llp,(408) 646-4959,1784 SANCHEZ STREET,,SAN FRANCISCO,CA,94131,
Rubicon Technology Partners,"Brooks, Alex","Csp Securities, Lp",203-930-7770,One Dock Street,,Stamford,CT,06902,
Umpqua Bank,"Jordan, Taylor",Barbary Coast Consulting,(503) 727-4298,One SW Columbia,,Portland,OR,97258,
331 Pennsylvania Avenue,"Dorsey, Matt",Lighthouse Public Affairs,(415) 364-0000,331 PENNSYLVANIA AVENUE,,SAN FRANCISCO,CA,94107,
Koret Family House,"Piccini, Jacqueline",Platinum Advisors,415-476-0160,1234 10TH AVENUE,,SAN FRANCISCO,CA,94122,
Board Of Directors Of San Francisco Zoological Society,"Mogi, Viva",Platinum Advisors,415-576-2302,1 ZOO ROAD,,SAN FRANCISCO,CA,94102,
Walgreens,"Clemens, Alex",Barbary Coast Consulting,847-315-4863,104 Wilmot Road,,Deerfield,IL,60015,
Massoudi Consulting Engineers,"Kevlin, John","Reuben, Junius & Rose, Llp",(650) 773â€”5844,"205 De Anza Blvd., No. 109",,San Mateo,CA,94402,
Bar Pilots,"Dorsey, Matt",Lighthouse Public Affairs,(415) 362-0861,PIER 9 EAST END,,SAN FRANCISCO,CA,94111,
One Kings Lane,"Potashner, Eric",Platinum Advisors,(415) 489-9700,"501 SECOND STREET, SUITE 114",,SAN FRANCISCO,CA,94107,
Year Up,"Tourk, Alex",Ground Floor Public Affairs,415-512-7588,210 Spear Street,,San Francisco,CA,94105,
"Fortress Capital Formation, Llc","Thrush, Allison","Fortress Capital Formation, Llc",212-798-6100,1345 Avenue of the Americas,,New York,NY,10105,
Supershuttle,"Mogi, Viva",Platinum Advisors,(650) 246-2785,30 ADRIAN COURT,,BURLINGAME,CA,94010,
3636 21st Street,"Bell, Veronica N.",Lighthouse Public Affairs,(415) 364-0000,3636 21ST STREET,,SAN FRANCISCO,CA,94114,
Intermix,"Smolens, H. Marcia",Hms Associates,415-427-0103,2 Folsom Street,,San Francisco,CA,94105,
La Salle Hotel Properties,"Guehring, Ross E.",Lighthouse Public Affairs,(391) 941-1500,7550 WISCONSIN AVENUE,,BETHESDA,MD,20814,
L.f. George Properties Corporation,"Sullivan, Tara N.","Reuben, Junius & Rose, Llp",4158632888,"888 Brannan St., Ste. 153-155",,San Francisco,CA,94103,
J2 Properties,"Reuben, James","Reuben, Junius & Rose, Llp",415-441-6507,Atten: Jordan R. Sills,,San Francisco,CA,94109,
Hearst Corp.,"Bell, Veronica N.",Lighthouse Public Affairs,(212) 649-2000,300 W. 57TH STREET,,NEW YORK,NY,10019,
David Papale,"Silverman, David","Reuben, Junius & Rose, Llp",4157508202,Laurel Village Realtors,,San Francisco,CA,94118,
Sfl&w Partnership,"Murphy, Alan",Alan Murphy,415-863-8888,205 13th Street,,San Francisco,CA,94103,
Recology,"Jones, Dwayne",Platinum Advisors,415-330-1400,501 TUNNEL AVENUE,,SAN FRANCISCO,CA,94134,
Horace Diamonon,"Cassolato, Stefano",Sgc Strategic Communications,415-350-6604,3545 - 20th Street,,San Francisco,CA,94110,
"Hong, Natasha","Silverman, David","Reuben, Junius & Rose, Llp",415-567-9000,323 Grant Avenue,,San Francisco,CA,94108,
Credit Suisse Securities (Usa) Llc,"Lollie, Marcus",Credit Suisse Securities (Usa) Llc,212-325-8656,One Madison Avenue,,New York,NY,10010,
Mindful Investments Lp,"Frattin, Daniel","Reuben, Junius & Rose, Llp",4153718333,827 De Haro Street,,San Francisco,CA,94107,
Zen Hospice Project,"Tourk, Alex",Ground Floor Public Affairs,415-913-7682,273 Page Street,,San Francisco,CA,94102,
Farallon Real Estate Fund 5 Llc,"Gladstone, Brett",Hanson Bridgett Llp,4159397284,152 Yerba Buena Ave,,San Francisco,CA,94127,
Wine Institute,"Owen, David",Platinum Advisors,916-441-6974,"915 L STREET, SUITE 1400",,SACRAMENTO,CA,95814,
"Alexandria Real Estate Equities, Inc.","Smolens, H. Marcia",Hms Associates,415-554-8848,1700 Owens Street,,San Francisco,CA,94158,
Blue Bottle Coffee,"Piccini, Jacqueline",Platinum Advisors,510-653-3394,300 WEBSTER STREET,,OAKLAND,CA,94607,
Sansome Pacific Properties,"Reuben, James","Reuben, Junius & Rose, Llp",415-781-2900,500 Washington Street,,San Francisco,CA,94111,
Murphy & O'brien,"Gladstone, Brett",Hanson Bridgett Llp,(415) 648-1200,4153 24th Street,,San Francisco,CA,94114,
California Pacific Medical Center,"Rossi, Jaime",Barbary Coast Consulting,415-600-6000,P.O Box 7999,,San Francisco,CA,94120,
"Highgate Holdings, Llc","Haughey, Stephanie","Reuben, Junius & Rose, Llp",2127075059,870 Seventh Avenue,,New York,NY,10019,
Salesforce.com Inc.,"Gruwell, Chris",Platinum Advisors,415-901-7000,1 MARKET STREET,,SAN FRANCISCO,CA,94105,
Jpmorgan Chase,"Daniller-Katz, Gia",Daniller Consulting Inc.,650-875-6060,1200 El Camino Real,,San Bruno,CA,94066,
Expedia,"Gruwell, Chris S.",New Deal Advisers,2024494737,"1120 G STREET NW, SUITE 410",,WASHINGTON,DC,20005,
Committee On Jobs,"Wright, Christopher",Committee On Jobs,415-956-9966,"235 Montgomery Street, Suite 1018",,San Francisco,CA,94104,
Luxe Valet,"Hayward, A. Boe",Lighthouse Public Affairs,(415) 660-9866,2 BRYANT STREET,,SAN FRANCISCO,CA,94105,
Go Lorrie's Airport Shuttle,"Johnston, Karin",Hms Associates,415-334-9000,444B,,San Bruno,CA,94066,
Lincoln Property Company,"Reuben, James","Reuben, Junius & Rose, Llp",4159817878,"c/o John S. Herr, Executive V.P.",,San Francisco,CA,94133,
Tony Lo,"Silverman, David","Reuben, Junius & Rose, Llp",4155679000,438 8th Street,,San Francisco,CA,94103,
Shorenstein,"Owen, David",Platinum Advisors,415-352-7247,"235 MONTGOMERY STREET, 16TH FLOOR",,SAN FRANCISCO,CA,94104,
Koret Family House,"Mogi, Viva",Platinum Advisors,415-476-0160,1234 - 10TH AVENUE,,SAN FRANCISCO,CA,94122,
"Kennedy, Patrick","Vettel, Steve",Farella Braun And Martel,(510) 883-1000,"2116 Allston Way, Suite 1",,Berkeley,CA,94704,
Kinjo/amanda Tsung,"Garland, Marsha",Marsha Garland Public Relations,626-823-4502,2206 Polk Street,,San Francisco,CA,94109,
San Francisco Chamber Of Commerce,"Workman, Dee Dee",San Francisco Chamber Of Commerce,4153924520,"235 Montgomery Street, Suite 760",,San Francisco,CA,94104,
"Klw Investments, Llc","Junius, Andrew","Reuben, Junius & Rose, Llp",415-643-7400,180 Sansome Street,,San Francisco,CA,94104,
Pacific Rim Partners,"Loper, Mark","Reuben, Junius & Rose, Llp",5102965001,1730 Solano Avenue,,Berkeley,CA,94707,
"Mxb Battery Operations, Lp","Haughey, Stephanie","Reuben, Junius & Rose, Llp",4158229889,387 Tehama Street,,San Francisco,CA,94103,
Grocery Outlet,"Jordan, K. Taylor",Lighthouse Public Affairs,(510) 845-1999,5650 HOLLIS STREET,,EMERYVILLE,CA,94608,
Atkins,"Gruwell, Chris",Platinum Advisors,916-553-3244,"1200 SECOND STREET, SUITE 200",,SACRAMENTO,CA,95814,
Comcast Corporation,"Adams, Scott",Comcast Corporation,415-389-6800,"ONE COMCAST CENTER, 1701 JFK BOULEVARD, OFFICE 49.105",,PHILADELPHIA,PA,19103-2838,
Wine & Spirits Wholesalers Of California,"Jones, Dwayne",Platinum Advisors,916-944-1470,4059 CRABTREE COURT,,CARMICHAEL,CA,95608,
Boston Properties Limited Partnership,"Noyola, David",Platinum Advisors,415-772-0701,"FOUR EMBARCADERO CENTER, SUITE 1",,SAN FRANCISCO,CA,94111,
Collateral Lender,"Peterson, Rich",Goodyear Peterson Hayward & Associates,(415) 929-7251,201 KEARNY STREET,,SAN FRANCISCO,CA,94108,
Johnny Li,"Silverman, David","Reuben, Junius & Rose, Llp",415-216-8888,109 School St.,,Daly City,CA,94014,
Lennar Residential,"Kirk, Laura",Platinum Advisors,415-975-4982,"100 PINE STREET, SUITE 2260",,SAN FRANCISCO,CA,94111,
Corepower,"Hayward, A. Boe",Lighthouse Public Affairs,(213) 422-1450,1120 MANZANITA STREET,,LOS ANGELES,CA,90029,
Accenture,"Piccini, Jacqueline",Platinum Advisors,(202) 533-1100,"800 CONNECTICUT AVENUE, NW SUITE 600",,WASHINGTON,DC,20006,
Lennar Communities,"Lapointe, Denise",Lapointe And Associates,415-995-1770,1 California Street,,San Francisco,CA,94111,
Bluemercury Store,"Guehring, Ross E.",Lighthouse Public Affairs,(301) 520-8185,"1010 WISCONSIN AVENUE NW, SUITE 700",,WASHINGTON,DC,20007,
Baybio,"Engelhardt, Ritchard",Baybio,650-871-3250,250 East Grand Avenue,,South San Francisco,CA,94080,
"Dolby Laboratories, Inc.","Jordan, K. Taylor",Lighthouse Public Affairs,(415) 645-5124,1275 MARKET STREET,,SAN FRANCISCO,CA,94105,
Bay Area Motivate,"Clemens, Alexander",Lighthouse Public Affairs,(503) 482-7042,5202 3RD AVENUE,,BROOKLYN,CA,11220,
Stewart Tsang,"Silverman, David","Reuben, Junius & Rose, Llp",4158127233,"c/o Henry Wong, Yaleen Company",,Mountain View,CA,94039,
Gaehwiler Construction Inc.,"Reuben, James","Reuben, Junius & Rose, Llp",415-550-0300,1550 Michigan Street,,San Francisco,CA,94124,
"John Fields And Anthony Antaran, Trustees, Grand Oriente Filipino Trust","Kelly, Susanne",Hanson Bridgett Llp,415-995-5065,11 Coleridge Street,,San Francisco,CA,94110,
Lemonade,"Hayward, A. Boe",Lighthouse Public Affairs,(415) 364-0000,10000 CULVER BOULEVARD,,CULVER CITY,CA,90232,
Hc&m Commercial Properties,"Hayward, Boe","Goodyear Peterson Hayward & Associates, Llc",(415) 865 - 3740,1234 MARIPOSA STREET,,SAN FRANCISCO,CA,94107,
Lombard Deep Thought Llc,"Gladstone, Brett",Hanson Bridgett Llp,415-928-3300,"4000 Montgomery Drive, Suite F",,Santa Rosa,CA,95405,
Axis Development Group,"Guehring, Ross",Barbary Coast Consulting,4159926997,580 California Street,,San Francisco,CA,94104,
Front Properties,"Gladstone, Brett",Hanson Bridgett Llp,(415) 435-8100,P. O. Gox 504,,Belvedere,CA,94920,
Mary Tom,"Smith, Kimberly",Kls Consulting,415-272-4901,396 26th Avenue,,San Francisco,CA,94122,
Hms Associates,"Potashner, Eric",Platinum Advisors,415-434-0614,1 JACKSON STREET,,SAN FRANCISCO,CA,94111,
Prologis,"Peterson, Rich H.",Lighthouse Public Affairs,(303) 567-5000,"PIER ONE, BAY ONE",,SAN FRANCISCO,CA,94111,
One Vassar,"Jordan, K. Taylor",Lighthouse Public Affairs,(415) 982-7777,433 CALIFORNIA STREET,,SAN FRANCISCO,CA,94104,
Charles And Lucienne Dilworth,"Knight, Jody","Reuben, Junius & Rose, Llp",4155679000,55 Francisco Street,,San Francisco,CA,94133,
Golden Bridges School,"Bell, Veronica N.",Lighthouse Public Affairs,(415) 912-8666,3358 22ND STREET,,SAN FRANCISCO,CA,94110,
"Tpg Capital Bd, Llc","Carroll, Daniel","Tpg Capital Bd, Llc",415-743-1526,345 California Street,,San Francisco,CA,94104,
Craig Greenwood,"Kevlin, John","Reuben, Junius & Rose, Llp",415-857-9305,2650 Hyde St,,San Francisco,CA,94109,
"179-11th Street Ii, L.p.","Junius, Andrew","Reuben, Junius & Rose, Llp",415-267-2900,c/o Lightner Property Group,,San Francisco,CA,94105,
Altschool,"Piccini, Jacqueline",Platinum Advisors,415-255-9766,1245 FOLSOM STREET,,SAN FRANCISCO,CA,94103,
"Eric Messersmith, Esq.","Cassolato, Stefano",Sgc Strategic Communications,415-351-1600,50 California Street,,San Francisco,CA,94111,
10 Dorman,"Hayward, A. Boe",Lighthouse Public Affairs,(650) 825-5095,10 DORMAN AVENUE,,SAN FRANCISCO,CA,94124,
San Francisco Fire Fighters Local 798,"Mogi, Viva",Platinum Advisors,415-621-7103,1139 MISSION STREET,,SAN FRANCISCO,CA,94103,
Riverstone Holdings Llc,"Weymouth, Elizabeth",Riverstone Equity Partners Lp,212-993-0076,712 Fifth Avenue,,New York,NY,10019,
Wasserman Media Group,"Piccini, Jacqueline",Platinum Advisors,310-882-4475,"10960 WILSHIRE BLVD, SUITE 2200",,LOS ANGELES,CA,90024,
"Oaktree Capital Management L.p. And Its Affiliated Entity, Ocm Investments, Llc","Harrington, Tony",Oaktree Capital Management L.p. And Its Affiliated,(213) 830-6300,333 South Grand Avenue,,Los Angeles,CA,90071,
Jo Malone,"Rossi, Jaime",Barbary Coast Consulting,646-762-7020,28 W 23 Street 9th Floor,,New York,NY,10010,
Sisters Of The Fraternite Notre Dame,"Jordan, K. Taylor",Lighthouse Public Affairs,(773) 261-0101,502 NORTH CENTRAL AVENUE,,CHICAGO,IL,60644,
The Swig Company,"Berg, Jessica",Bergdavis Public Affairs,(415) 291-1100,220 Montgomery Street,,San Francisco,CA,94104,
"The Mosser Companies, Inc.","Kevlin, John","Reuben, Junius & Rose, Llp",4155679000,308 Jessie Street,,San Francisco,CA,94103,
Parking Sense Usa,"Gruwell, Chris",Platinum Advisors,(877) 818-0132,"2950 NUSKIRK AVENUE, SUITE 300",,WALNUT CREEK,CA,94597,
"Conduent, Inc. And Its Affiliates","Johnston, Karin",Hms Associates,703-328-4994,"1800 M Street, NW",,Washington,DC,20036,
Safeway,"Jordan, K. Taylor",Lighthouse Public Affairs,(925) 467-3000,5918 STONERIDGE MALL ROAD,,PLEASANTON,CA,94588,
Francisco Parks Conservancy,"Guehring, Ross E.",Lighthouse Public Affairs,(415) 298-9880,PO BOX 475035,,SAN FRANCISCO,CA,94147,
"Wine Meet Cheese, Dba Shindig","Peterson, Rich",Goodyear Peterson Hayward & Associates,(415) 305-3819,403 IRVING STREET,,SAN FRANCISCO,CA,94122,
Pbs&j,"Jones, Dwayne",Platinum Advisors,916-553-3244,"1200 SECOND STREET, SUITE 200",,SACRAMENTO,CA,95814,
Nick Podell Company,"Clemens, Alexander",Lighthouse Public Affairs,(415) 296-8800,100 DRUMM STREET,,SAN FRANCISCO,CA,94111,
Meyer Capital,"Bell, Veronica N.",Lighthouse Public Affairs,(415) 362-1546,"400 PACIFIC AVENUE, SUITE 2E",,SAN FRANCISCO,CA,94133,
Crescent Heights,"Kirk, Laura",Platinum Advisors,415-989-1045,"450 SANSOME STREET, SUITE 750",,SAN FRANCISCO,CA,94111,
The Drc Group,"Owen, David",Platinum Advisors,251-343-6560,740 MUSUEM DRIVE,,MOBILE,AL,36608,
Market Street Place,"Hayward, Boe","Goodyear Peterson Hayward & Associates, Llc",(214) 561-8800,"8343 DOUGLAS AVENUE, SUITE 200",,DALLAS,TX,75225,
Wine & Spirits Wholesalers Of California,"Owen, David",Platinum Advisors,916-944-1470,4059 CRABTREE COURT,,CARMICHAEL,CA,95608,
San Francisco Parks Alliance,"Hayward, Boe","Goodyear Peterson Hayward & Associates, Llc",(415) 621-3260,451 HAYES STREET,,SAN FRANCISCO,CA,94102,
Microsoft Corporation,"Salvesen, Bjorn",Microsoft Corporation,415-903-2800,"c/o 28 Liberty Ship Way, Suite 2815",,Sausalito,CA,94965,
Fuel Outdoor Llc,"Reuben, James","Reuben, Junius & Rose, Llp",212-699-8430,c/o Van Wagner Communications LLC,,New York,NY,10022,
Armstrong Development Properties Inc.,"Kevlin, John","Reuben, Junius & Rose, Llp",9166439610,1375 Exposition Blvd.,,Sacramento,CA,95815,
David Taylor,"Winslow, Jane",Jane Winslow,650-598-9181,1460 Montgomery St. LLC,,San Francisco,CA,94133,
"Align Real Estate, Llc","Loper, Mark","Reuben, Junius & Rose, Llp",415-847-1332,"One California St., Ste. 400",,San Francisco,CA,94111,
Piccolo Forno,"Cassolato, Stefano",Sgc Strategic Communications,415-757-0087,725 Columbus Ave.,,San Francisco,CA,94133,
St. Dominic's Catholic Church,"Junius, Andrew","Reuben, Junius & Rose, Llp",415-567-7824,2390 Bush St.,,San Francisco,CA,94115,
Landmark Partners Llc,"Ferzoco, Andrea",Landmark Partners Llc,860 651-9760,10 Mill Pond Lane,,Simsbury,CT,06070,
Hc&m Commercial Properties,"Peterson, Rich",Goodyear Peterson Hayward & Associates,(415) 865 - 3740,1234 MARIPOSA STREET,,SAN FRANCISCO,CA,94107,
Boston Properties Limited Partnership,"Crowley, Coleen",Platinum Advisors,415-772-0701,"FOUR EMBARCADERO CENTER, SUITE 1",,SAN FRANCISCO,CA,94111,
Visa,"Jordan, K. Taylor",Lighthouse Public Affairs,(650) 432-1272,PO BOX 8999,,SAN FRANCISCO,CA,94128,
Serco Inc.,"Smolens, H. Marcia",Hms Associates,415-285-5043,2200 Jerrold Avenue,,San Francisco,CA,94124,
Kinjo/amanda Tsung,"Cassolato, Stefano",Sgc Strategic Communications,626-823-4502,2206 Polk Street,,San Francisco,CA,94109,
"Waste Management, Inc.","Solem, Don",Solem & Associates,916-448-4675,172 98th Avenue,,Oakland,CA,94603,
The Hanover Company,"Davis, Evette",Bergdavis Public Affairs,925-490-2990,279 Front Street,,Danville,CA,94526,
Koret Family House,"Jones, Dwayne",Platinum Advisors,415-476-0160,1234 10TH AVENUE,,SAN FRANCISCO,CA,94122,
Axis Development,"Bell, Veronica N.",Lighthouse Public Affairs,(415) 992-6997,580 CALIFORNIA STREET,,SAN FRANCISCO,CA,94104,
Solbach Property Group,"Bell, Veronica N.",Lighthouse Public Affairs,(415) 364-0000,857 MONTGOMERY STREET,,SAN FRANCISCO,CA,94133,
Market Street Place,"Bell, Veronica N.",Lighthouse Public Affairs,(214) 561-8800,"8343 DOUGLAS AVENUE, SUITE 200",,DALLAS,TX,75225,
California Beer & Beverage Distributors Association,"Kirk, Laura",Platinum Advisors,916-441-5402,"1415 L STREET, SUITE 890",,SACRAMENTO,CA,95814,
"Rabin, Daniel","Reuben, James","Reuben, Junius & Rose, Llp",415-522-5700,Rabin Management Company,,San Francsico,CA,94104,
Glaze Teriyaki,"Cassolato, Stefano",Sgc Strategic Communications,206-617-5737,1946 Fillmore Street,,San Francisco,CA,94115,
Armory Community Center,"Gladstone, Brett",Hanson Bridgett Llp,(415) 677-0456,c/o 201 California Street,,San Francisco,CA,94111,
American Airporter Shuttle,"Tourk, Alex",Ground Floor Public Affairs,415-202-0733,120 Willow St.,,San Francisco,CA,94109,
Wells Fargo Bank,"Jordan, K. Taylor",Lighthouse Public Affairs,(415) 364-0000,420 MONTGOMERY STREET,,SAN FRANCISCO,CA,94104,
Lennar Urban,"Lapointe, Denise",Lapointe And Associates,415-995-1770,1 California Street,,San Francisco,CA,94111,
Continental Development Corporation,"Smolens, H. Marcia",Hms Associates,310-640-1520,2041 Rosecrans Avenue,,El Segundo,CA,90245,
Facebook,"Hayward, Boe","Goodyear Peterson Hayward & Associates, Llc",650-543-4800,1 HACKER WAY,,MENLO PARK,CA,94025,
Lion Enterprises,"Potashner, Eric",Platinum Advisors,415-863-3532,2525 16TH STREET,,SAN FRANCISCO,CA,94103,
Board Of Directors Of San Francisco Zoological Society,"Piccini, Jacqueline",Platinum Advisors,415-576-2302,1 ZOO ROAD,,SAN FRANCISCO,CA,94132,
Clear Channel Airports,"Piccini, Jacqueline",Platinum Advisors,310-782-2005,19320 HARBORGATE WAY,,TORRANCE,CA,90501,
"Blackrock Institutional Trust Company, N.a.","Wan, Lilian","Blackrock Institutional Trust Company, N.a.",2023717243,400 HOWARD STREET,,San Francisco,CA,94105,
Hok,"Jones, Dwayne",Platinum Advisors,415-243-0555,1 BUSH STREET,,SAN FRANCISCO,CA,94104,
Uber Technologies Inc.,"Noyola, David",Platinum Advisors,877-223-8023,"1455 MARKET STREET, 4TH FLOOR",,SAN FRANCISCO,CA,94103,
Supershuttle,"Noyola, David",Platinum Advisors,4650-246-2785,30 ADRIAN COURT,,BURLINGAME,CA,94010,
"Fitmob, Inc.","Emblidge, G. Scott",Moscone Emblidge Sater & Otis,415-225-4275,371 Fifth Street,,San Francisco,CA,94107,
Waste Management Corporation,"Jones, Dwayne",Platinum Advisors,510-537-5500,172 98TH AVENUE,,OAKLAND,CA,94603,
Walgreens,"Rossi, Jaime",Barbary Coast Consulting,847-315-4863,104 Wilmot Road,,Deerfield,IL,60015,
One Sansome Street Property,"Bell, Veronica N.",Lighthouse Public Affairs,(415) 364-0000,"ONE SANSOME STREET, SUITE 205",,SAN FRANCISCO,CA,94104,
Jeremy Ricks,"Frattin, Daniel","Reuben, Junius & Rose, Llp",858-752-3375,735 Montgomery Street,,San Francisco,CA,94111,
Zendesk,"Hayward, Boe","Goodyear Peterson Hayward & Associates, Llc",(888) 670-4887,"989 MARKET STREET, SUITE 300",,SAN FRANCISCO,CA,94103,
Twenty First Century Utilities,"Tam, Paul",Mercury Capital Advisors,202-452-5850,1707 L. Street,,Washington,DC,20036,
Cerner Corporation,"Gruwell, Chris",Platinum Advisors,816-221-1024,2800 ROCKCREEK PKWY,,NORTH KANSAS CITY,MO,64117,
One Kings Lane,"Jones, Dwayne",Platinum Advisors,(415) 489-9700,"501 SECOND STREET, SUITE 114",,SAN FRANCISCO,CA,94107,
Microsoft Corporation,"Kirk, Laura",Platinum Advisors,415-834-9481,870 MARKET STREET,,SAN FRANCISCO,CA,94102,
United Service Workers West,"Mogi, Viva",Platinum Advisors,213-284-7705,828 W. WASHINGTON BLVD,,LOS ANGELES,CA,90015,
